Gn,mean,std
ABCD3,56.521,
GHITM,56.517,
ANKFY1,56.491,
USP39,56.464,
ARHGAP17,56.464,
STUB1,56.455,
GPR78,56.44,
FAM25A,56.422,
FAM25C,56.422,
FAM25G,56.422,
AP3D1,56.416,
ATE1,56.405,
CRTAP,56.403,
RRP1,56.35,
PET100,56.336,
MSC,56.331,
SAFB2,56.309,
BTD,56.28,
PRKCB,56.269,
CA12,56.234,
PBXIP1,56.223,
TMX4,56.219,
DDX46,56.217,
SP7,56.215,
TRMT1,56.213,
MAP1LC3B2,56.205,
SPTSSB,56.151,
GSC2,56.128,
ASF1B,56.118,
VCAN,56.104,
SMAP2,56.07,
ACP2,56.032,
TANGO2,56.029,
EPDR1,56.012,
PRPF6,56.009,
STK4,55.974,
ITGAM,55.96,
PHF23,55.947,
POP7,55.934,
EFHD1,55.933,
KRT35,55.875,
SLC5A12,55.831,
SART1,55.809,
RNASET2,55.767,1.5047232303649734
TFB1M,55.728,
GSK3B,55.686,
FCF1,55.677,
YAP1,55.648,
UGT1A9,55.647,
MTA2,55.63,
RSRC2,55.615,
SLC39A14,55.603,
MRPL20,55.602,
NUP54,55.561,
AP1M2,55.548,
RABL3,55.546,
MCIDAS,55.544,
PVR,55.53,
LORICRIN,55.509,
P3H1,55.499,
EXOSC5,55.498,
MAP1LC3B,55.466,0.33092597359530673
GREM2,55.437,
VPS4A,55.43,
LHFPL2,55.428,
CCNA2,55.424,
MRPS35,55.402,
CNPY4,55.383,
EPS15L1,55.372,
ESS2,55.355,
OSGEP,55.324,
ZNF593,55.297,
AGA,55.279,
ADPGK,55.266,
AQP3,55.253,
COMMD2,55.251,
LEP,55.203,
DDX56,55.199,
BAIAP2L1,55.191,
SAP30,55.182,
NDRG3,55.147,
GBP2,55.109,
NAP1L5,55.047,
PTGR2,55.028,
SULT1A2,55.028,
OLR1,54.985,
EPB41,54.98,
PHOX2B,54.944,
ZC3HAV1L,54.941,
NUP43,54.937,
CD79A,54.933,
NGDN,54.909,
AAMP,54.909,
PKIA,54.884,
CLIP1,54.812,
FKBP14,54.805,
MMP8,54.787,
COQ6,54.771,
LST1,54.749,
CDC16,54.747,
VPS18,54.737,
EIF2B3,54.705,
XRN2,54.705,
FAM229A,54.7,
LSM14A,54.666,
DLG1,54.665,
ZBTB8OS,54.621,
CUL5,54.602,
HSPBP1,54.594,
GNL3L,54.578,
CINP,54.557,
MAP1S,54.539,
STING1,54.492,
EIF2B2,54.451,
ESRRA,54.437,
CUL4A,54.437,
MRPS24,54.433,
BCAN,54.43,
SLC16A3,54.428,
HLA-DQB1,54.415,
C11orf68,54.397,
MRPL22,54.38,
IMUP,54.35,
FAM3B,54.324,
SLC6A19,54.293,
OPALIN,54.262,
DCTN4,54.235,
CTNNBL1,54.222,
CFAP20,54.221,
PCYOX1L,54.219,
GINS2,54.207,
STK24,54.19,
OGA,54.183,
VRTN,54.165,
KRTCAP2,54.138,
MED10,54.127,
PHYHIPL,54.12,
TCEAL6,54.113,
TMEM147,54.086,
DONSON,54.07,56.62369682385635
SLC4A1AP,54.058,
NUBPL,54.051,
UCK2,54.047,
BVES,53.983,
MRRF,53.927,
TRNT1,53.923,
MYOT,53.921,
TMEM127,53.904,
LAD1,53.863,
PEX11B,53.86,
ZNF512,53.855,
YIF1A,53.849,
PTK7,53.843,
LGALS12,53.827,
CCAR1,53.81,
JMJD6,53.803,
AP3M1,53.761,
COMMD8,53.758,
IMP4,53.729,
DERL1,53.706,
DOK7,53.697,
RFC3,53.683,
DNAJB6,53.675,
SNAPIN,53.673,
RBM34,53.65,
CDC123,53.607,
DDX18,53.598,
ADO,53.592,
GIGYF1,53.543,
MPV17,53.508,
AP3B1,53.477,
PSG4,53.462,
PTGES,53.455,
AGO1,53.406,
EXOSC1,53.377,
DDC,53.367,
CEMP1,53.339,
C8orf33,53.33,
TIMM22,53.276,
SFXN2,53.274,
FAM210B,53.267,
MAGI2,53.267,
FXN,53.242,
NUDT16L1,53.241,
OXT,53.215,
COMMD3-BMI1,53.211333333333336,19.387908714797824
SHPK,53.21,
TRMT44,53.185,
GTF2A1,53.172,
STXBP3,53.132,
BCAP29,53.097,
ROCK1,53.095,
CEP43,53.089,
IGBP1,53.079,
TPRKB,53.077,
CDKN1B,53.059,
LAIR1,53.051,10.711253521413822
YTHDF2,53.008,
FSTL1,53.003,
IMP3,52.955,
KRR1,52.949,
CIDEA,52.936,
CYFIP2,52.928,
SGSH,52.91,
CHMP4A,52.9075,15.414220723085553
RPL36A-HNRNPH2,52.872,
MET,52.848,
ARMC1,52.835,
XPOT,52.83,
TBCE,52.818,
DDX19A,52.818,
SRRM1,52.795,
SSPN,52.789,
NUFIP2,52.779,
DOHH,52.777,
EXOSC4,52.774,
EIF4E2,52.746,
CACNG1,52.74,
MRE11,52.736,
MPHOSPH10,52.728,
MTREX,52.722,
PPP1R14C,52.701,
HTATSF1,52.685,
NCALD,52.68,
OMG,52.669,
MBD2,52.668,
MAP1LC3A,52.636,
PPP4R2,52.627,
HLA-DQA2,52.624,
ABHD12,52.622,
RPS6KA3,52.619,
CDCA8,52.61,
HLA-DOA,52.594,
ANKRD1,52.592,
XIRP1,52.579,
NFYC,52.556,
MT-ND2,52.494,
TGOLN2,52.459,
MRPL51,52.453,
CHAC2,52.448,
GSDMA,52.432,
RNASEH2A,52.41,
SNAP91,52.407,
EREG,52.397,
CFHR3,52.383,
KDM1A,52.367,
AFF1,52.346,
CHRAC1,52.335,
EVPL,52.332,
H4C7,52.312,
ELMO1,52.294,
ARL2BP,52.29,
CLPSL2,52.24,
GADD45GIP1,52.221,
NT5C2,52.214,
SMIM15,52.203,
RAP2C,52.196,
MYOM3,52.187,
HK2,52.184,
EMC4,52.123,
LYN,52.098,
MRPL40,52.096,
CAMKV,52.094,
CD46,52.068,
DSG4,52.059,
POLDIP3,52.059,
PPP3CB,52.031,
FCGRT,52.027,
SNX9,52.009,
PDHA2,51.994,
EPS8L2,51.993,
TBC1D10C,51.99,
PDLIM2,51.986,10.154053377838823
ARFIP2,51.982,
KRT82,51.967,
TBL2,51.964,
LRP2,51.89,
TXNL4B,51.877,
SH3RF1,51.872,
PSME3IP1,51.861,
SOAT1,51.86,
WFDC5,51.855,
FYB1,51.829,
DHRS7B,51.82,
UNC13D,51.814,
CELF2,51.793,
SEMA4B,51.782,
CELA2A,51.776,
PDRG1,51.765,
HHATL,51.759,
CASP1,51.751,
SPTLC1,51.749,
SHTN1,51.743,
VPS28,51.742,
NFS1,51.726,
PPP2R5D,51.709,
IPO11,51.708,
CDC37L1,51.695,
RBFOX2,51.671,
STK39,51.667,
DDX50,51.662,
MORF4L1,51.657,
PNPLA6,51.649,
OR5D16,51.627,
COA7,51.6,
DBNDD1,51.6,
RCSD1,51.589,
NPL,51.549,
PREB,51.549,
PUS7,51.548,
PRPS1L1,51.548,
VTI1B,51.528,
NBN,51.502,
DCAKD,51.496,
COL4A1,51.49,
ENG,51.489,
SYCP3,51.475,
VAMP5,51.448,
DAGLB,51.433,
MVK,51.426,
TSPAN4,51.413,
EML1,51.397,
EBI3,51.393,
SEC63,51.37,
CNTFR,51.368,
MTRES1,51.353,
GRN,51.346,
ADSS1,51.325,
PEDS1,51.278,
PEDS1-UBE2V1,51.278,
SETD7,51.219,
CHN1,51.18,
RPS19BP1,51.175,
RIC8A,51.146,
TCF15,51.142,
TIMMDC1,51.142,
TOMM6,51.139,
PDE12,51.092,
DUS3L,51.082,
EMC3,51.074,
FOXA1,51.053,
MFAP1,51.047,
MRPL37,51.038,
RNASEH2C,51.004,
CNOT9,50.954,
PSTPIP2,50.954,
NECAP1,50.951,
WDFY1,50.894,
METTL15P1,50.873,
METTL15,50.873,
ATP6V1G2,50.847,
NCKIPSD,50.844,
UBE2R2,50.816,
BYSL,50.783,
NT5C3A,50.774,
AADAT,50.761,
TMEM211,50.756,
CYRIA,50.74,
GPC1,50.736,
PTBP2,50.717,
TMEM167B,50.707,
LOC102723996,50.691,
ICOSLG,50.691,
LCE1F,50.684,
CLSTN1,50.67,
CCL21,50.642,
C15orf40,50.635,
PEG10,50.634,
FBF1,50.6305,2.8234773772778885
SPTBN2,50.591,
CTNNA2,50.587,
MRPL54,50.56,
GRSF1,50.555,
HSF2,50.554,
DSG2,50.545,
MAGT1,50.537,
FHL3,50.529,
PLOD2,50.52,
MRPL55,50.506,
ELMOD2,50.478,
GIPC1,50.451,
PSMG2,50.434,
RHOQ,50.406000000000006,18.205171188428853
XRCC1,50.3935,4.468207750317788
PKP2,50.332,
MKI67,50.332,
ACSS3,50.248,
AUP1,50.24,
PAM16,50.2355,5.424216118482003
UBE2B,50.235,
FHDC1,50.226,
USP10,50.218,
DCUN1D5,50.167,
COQ3,50.15,
CHURC1-FNTB,50.141000000000005,25.404932434470282
GPHN,50.123,
TSC22D1,50.113,
AGK,50.083,
CXCL8,50.083,
ERGIC3,50.081,
EMC1,50.074,
PRKG1,50.066,
FADS1,50.063,
TOM1L2,50.056,
LAPTM4A,50.049,
SRXN1,50.036,
OGFR,50.028,
MLYCD,50.011,
NAGA,50.011,
YY1,50.01,
MYCT1,49.994,
RNF126,49.991,
ASCC1,49.948,
EXOSC2,49.94,
PLOD1,49.935,
SIRT5,49.933,
IFNK,49.927,
MTERF3,49.916,
SEC14L2,49.914,
QRICH1,49.909,
TBL3,49.872,
NXF1,49.869,
HPCA,49.849,
DHTKD1,49.84,
FCN1,49.84,
TMEM128,49.798,
NUP210,49.75,
RWDD4,49.724,
DIMT1,49.719,
QTRT2,49.682,
KCNAB2,49.673,
HMGXB4,49.647,
SLC30A7,49.645,
SLC1A4,49.641,
POLR2K,49.637,
EDC3,49.619,
TMBIM6,49.618,
PDS5B,49.598,
HTRA2,49.594,
UNC119B,49.563,
PTP4A2,49.543,
MID1IP1,49.532,
MRGBP,49.529,
SPTB,49.516,
TMEM192,49.495,
RABIF,49.491,
UTRN,49.489,
RXFP4,49.475,
GSTT2,49.472,0.14283556979968132
NUP50,49.471,
MYC,49.47,
CPLX4,49.464,
SCLY,49.461,
LRP1,49.446,
CHAC1,49.443,
ATP6AP1L,49.412,
HTN1,49.412,
SNORC,49.389,
PELP1,49.379,
AP4S1,49.379,
PWP1,49.377,
GSTT2B,49.371,
GYPB,49.368,69.6783022181224
CEACAM6,49.36,
MRPS16,49.359,
PRKCD,49.345,
POLA2,49.331,
MRPL46,49.322,
MRPL52,49.319,
GRIPAP1,49.288,
CDK5,49.284,
DDX24,49.275,
MCL1,49.258,
PRCC,49.255,
CDIP1,49.233,
ACKR3,49.229,
VPS26B,49.212,
DNASE2,49.207,
SIRPA,49.195,
GET4,49.193,
PPM1B,49.179,
UTP11,49.169,
METTL7B,49.165,
COX19,49.16,
ZNF697,49.146,
BPNT2,49.131,
ACSF3,49.125,
CERS2,49.117,
FAM120A,49.109,
U2SURP,49.083,
MAP2K3,49.061,
CIAO2A,49.017,
GRID1,49.011,
MRPL47,49.004,
GPNMB,48.982,
NLN,48.966,
FASTKD5,48.957,
PKP1,48.957,
GTF2E1,48.939,
MRFAP1,48.93,
PCYT1A,48.894,
MAP3K20,48.872,
METTL1,48.847,
CD82,48.834,
DNTTIP2,48.802,
SPRN,48.793,
OGFOD1,48.772,
CD300A,48.755,
SRA1,48.751,
PARN,48.748,
CAPNS2,48.737,
SEMA4C,48.734,
PLAC1,48.675,
LYRM2,48.667,
IGFBP6,48.665,
CD84,48.658,
OPTN,48.651,
POLR2B,48.637,
SYNPR,48.629,
BHLHA15,48.628,
CCDC86,48.622,
UIMC1,48.616,
SATB2,48.607,
PHF24,48.575,
TMEM41B,48.57,
FAM32A,48.568,
STBD1,48.567,
POLR3K,48.501,
INPP5D,48.492,
ESF1,48.479,
JPH2,48.474,
MRPL38,48.47,
SCOC,48.464,
NOC3L,48.452,
HAUS2,48.445,
EMC2,48.437,
PTP4A1,48.42,
KCTD15,48.41,
TMEM208,48.408,
DMD,48.396,
BCAS1,48.394,
EMC10,48.375,
PDPR,48.335,
PRMT3,48.324,
TRIML2,48.322,
NAA38,48.311,
NAAA,48.294,
ABHD16A,48.289,
OPRM1,48.282,
SYF2,48.259,
PIGS,48.224,
HERC4,48.218,
TRADD,48.211,
PADI4,48.207,
CSHL1,48.19,
C18orf25,48.184,
MMTAG2,48.18,
TRAPPC5,48.15,
EMC8,48.14,
UGT2B17,48.114,
APBB1IP,48.099,
AGXT2,48.096,
SDC4,48.093,
DHPS,48.093,
LMBR1,48.092,
CORO7,48.080999999999996,7.072519141013334
SLC44A1,48.079,
LCE1D,48.077,
ELOVL7,48.076,
SSH3,47.925,
METTL26,47.923,
CXorf56,47.902,
PELO,47.902,
TUBG1,47.900000000000006,8.396185919809064
PPP6R1,47.895,
GNG10,47.889,
INS,47.881499999999996,39.42332437149358
TIMM29,47.87,
SUPT6H,47.868,
TFF1,47.861,
FAM241A,47.849,
STX8,47.818,
IGSF8,47.816,
RBKS,47.801,
PCSK9,47.799,
SPN,47.794,
RAB31,47.789,
CA13,47.782,
CDC42EP4,47.769,
RUFY1,47.739,
PLEKHB1,47.736,
CHDH,47.733,
SLC38A1,47.719,
DBH,47.711,
NEK9,47.69,
SAAL1,47.682,
CXADR,47.676,
BAG1,47.664,
YRDC,47.66,
THTPA,47.647,
NDFIP1,47.637,
C20orf144,47.62,
CHERP,47.593,
OR52K1,47.576,
LEMD2,47.533,
C5orf51,47.518,
CUL4B,47.515,
KPNA6,47.5,
NCBP3,47.476,
MIS12,47.476,
DIRC1,47.455,
CIAO1,47.45,
UFSP2,47.439,
MOB3A,47.432,
TRMT5,47.416,
TMEM160,47.393,
RNF213,47.386,
UGT2B15,47.381,
LACTB,47.367,
IL19,47.366,
TMX3,47.357,
NOL9,47.335,
UBE2D1,47.331,
APOBEC3B,47.314,
GAPDHS,47.304,
ERC1,47.298,
TUBAL3,47.288,
ZNF22,47.282,
SLC25A34,47.277,
GLYR1,47.268,
TRAM2,47.259,
SMN1,47.258,
SMN2,47.258,
KIAA1210,47.255,
KRT23,47.247,
VPS51,47.21,
PRG4,47.206,
SMIM12,47.204,
XPNPEP3,47.187,
SPIN1,47.163,
SLC33A1,47.085,
TRIAP1,47.073,
ZSCAN10,47.029,
ATF1,47.027,
TRIM72,46.993,
MT1F,46.948,
UNC45A,46.947,
TNKS1BP1,46.945,
ARFGAP1,46.937,
UVSSA,46.899,
CCDC90B,46.888,
DDA1,46.846,
PIGU,46.844,
PPHLN1,46.828,
LPCAT3,46.773,
RASL11A,46.759,
TTLL3,46.758,9.620925683113866
PJA1,46.711,
RRP7A,46.709,
RRP7BP,46.709,
ZFR,46.708,
DRG2,46.693,
MTRR,46.691,
HLA-E,46.633,
FMC1,46.628,
NUDCD1,46.615,
UTP6,46.61,
DECR2,46.592,
YIPF3,46.578,
GEMIN6,46.563,
MFF,46.556,
JAM3,46.546,
MFSD10,46.542,
GFER,46.529,
LRBA,46.519,
SPTSSA,46.508,
SGMS1,46.507,
ITM2B,46.496,
MYO6,46.482,
MTURN,46.477,
SYK,46.47,
GPN1,46.467,
SORBS3,46.455,
PLPP3,46.449,
ZFAND1,46.408,
CNIH1,46.397,
UPF3B,46.351,
SPTA1,46.33,
GTF2H3,46.323,
F13B,46.271,
NCAN,46.26,
SH3GL3,46.256,
HMMR,46.245,
UBALD2,46.238,
MAPKAPK3,46.218,
MRPL39,46.217,
ILKAP,46.211,
MTPAP,46.206,
CENPM,46.194,
DMAC2,46.181,
NDC80,46.178,
UBE2D4,46.163,
GALNT7,46.145,
SERTAD4,46.14,
PYCR2,46.135,37.267355795655796
MAN1A1,46.131,
MED1,46.131,
STUM,46.096,
AGO2,46.061,
LMAN2L,46.026,
PIH1D1,46.011,
BCL10,46.008,
TNFRSF10B,45.999,
MAP2K4,45.998,
GID8,45.986,
IRF3,45.973,
ATP5MC3,45.958,
RPP25L,45.952,
PLBD2,45.944,
COMMD1,45.941,
MLLT6,45.939,
MTFP1,45.918,
MRPL16,45.914,
MYL10,45.899,
KLK13,45.894,
P4HA2,45.88,
AGPAT1,45.879,
SEPHS2,45.867,
ABI3BP,45.864,
GPX7,45.848,
GTF2B,45.83,
PFKFB2,45.822,
TRUB2,45.822,
LCP2,45.782,
NCAM2,45.77,
DYNLRB2,45.754,
RAMAC,45.73,
SNX17,45.727,
YEATS4,45.723,
RNF170,45.71,
STAT5A,45.709,
FTSJ3,45.699,
MPG,45.688,
TEX101,45.677,
LTB4R,45.657,
TBL1XR1,45.655,
PTCD3,45.653,
CDK4,45.631,
MRPS9,45.629,
SRPK1,45.628,
MYO1D,45.618,
RUSF1,45.613,
UBE2O,45.603,
WBP11,45.592,
CLPTM1L,45.588,
PEX14,45.582,
RPUSD3,45.574,
MED19,45.568,
GSDMD,45.551,
TBC1D4,45.547,
SNTA1,45.546,
UBE3A,45.523,
HOOK3,45.5095,6.924696708159857
RBM4,45.504000000000005,0.8697413408594487
SLC35F6,45.493,
ADAM10,45.492,
EEF1E1-BLOC1S5,45.486,
SLC5A6,45.483,
GEN1,45.46,
MMS19,45.439,
SPHK2,45.409,
EXOC3,45.397,
DPH6,45.39,
SPART,45.383,
ZC3H18,45.376,
THOC3,45.376,
COIL,45.372,
MAP6D1,45.371,
CORO7-PAM16,45.322500000000005,6.087482279234987
RNF181,45.311,
CMTR1,45.284,
SCYL1,45.278,
OR2S2,45.275,
CYB561,45.261,
ACKR4,45.259,
MEA1,45.247,
TCF12,45.233,
LRRC20,45.224,
SON,45.22,
SOX4,45.2,
NAA20,45.197,
TRAPPC6B,45.19,
FNTA,45.17066666666667,16.348335735888636
PPIL4,45.16,
SLC25A19,45.159,
TEX264,45.143,
MAP7,45.138,
FAM50A,45.121,
CD200,45.119,
ENPEP,45.091,
ATG4B,45.086,
SLC27A6,45.066,
MAK16,45.055,
DNAJC10,45.051,
RABGGTB,45.034,
FOXA3,45.007,
DMTN,45.006,
PRR16,44.995,
LINC02875,44.994,
PPIG,44.987,
AGPAT3,44.983,
OGT,44.976,
PACS1,44.973,
AATF,44.947,
GOSR1,44.94,
SV2B,44.93,
IMPA2,44.929,
VAC14,44.927,
OXR1,44.914,
FAM114A2,44.889,
TMED7,44.887,
TMED7-TICAM2,44.887,
ALKBH5,44.882,
RAI14,44.875,
CCL24,44.86,
KIAA0513,44.818,
NSMCE3,44.807,
TAF5,44.805,
REEP4,44.774,
ALOX12B,44.762,
R3HDM4,44.756,
WDR83,44.737,
PAPSS1,44.737,
DNAJC11,44.732,
PKMYT1,44.729,
LDHC,44.721,
ASPA,44.7,
TP73,44.67,
CTCF,44.646,
KLHL7,44.637,
PPIE,44.628,
TH,44.616,
NCSTN,44.597,
XKR4,44.561,
IFT27,44.559,
ADHFE1,44.553,
RAD51C,44.553,
ETNK1,44.545,
CCNL2,44.54,
TFAP4,44.532,
NPPA,44.529,
PLBD1,44.515,
SEC62,44.508,
NABP2,44.505,
EXOSC3,44.493,
COQ8B,44.456,
CASK,44.448,
OXA1L,44.431,
ELP5,44.414,
NCOA5,44.408,
MTRNR2L7,44.4,
GNGT2,44.398,
ABRAXAS2,44.378,
RBMX2,44.331,
BORCS7-ASMT,44.33,
BORCS7,44.33,
TMEM9,44.318,
SENP3-EIF4A1,44.309,
SENP3,44.309,
PPP1R1A,44.305,
PDS5A,44.3,
RCE1,44.291,
STK38L,44.273,
RBMXL2,44.268,
TTC38,44.267,
MRPL18,44.261,
NUDT9,44.258,
KRTAP19-6,44.258,
PHYH,44.256,
ASB3,44.256,
TMEM30A,44.249,
PROM1,44.242,
GMPR,44.238,
MRPL27,44.209,
PLCG2,44.194,
TTC37,44.191,
UTP23,44.176,
BCAS3,44.172,
PPP1R12C,44.168,
PALMD,44.165,
RFC2,44.164,
ZNRD2,44.152,
TERF2,44.143,
SEC24A,44.116,
NFKB1,44.113,
FTO,44.109,
SUGP1,44.081,
PIP4K2C,44.07,
QRFPR,44.056,
SLC12A2,44.05,
IMPDH1,44.027,
HMGCR,44.023,
VGF,44.023,
PHAX,44.022,
ABLIM1,44.015,
PAM,43.996,
GZMA,43.987,
CD3E,43.985,
ZNF503,43.974,
GNL2,43.969,
LSM14B,43.957,
POLR1C,43.957,
CPLX1,43.942,
TMEM70,43.936,
SMIM29,43.935,
TM4SF4,43.911,
AVL9,43.908,
EDC4,43.906,
UPP1,43.904,
SPINT2,43.889,31.50302131542307
FAM207A,43.884,
EIF2A,43.882,55.762440764371135
AMN,43.86,
MYF5,43.855,
FAM83G,43.842,
AMMECR1,43.833,
CD2BP2,43.825,
CMSS1,43.819,
ACTR10,43.813,
DPCD,43.801,
ACAP2,43.798,
HNRNPLL,43.791,
NUP98,43.784,
PPM1E,43.782,
PDP1,43.781,
LPL,43.746,
PPP1R18,43.739,
DRG1,43.7325,57.12503553171762
GRWD1,43.722,
PRUNE1,43.712,
CARD10,43.701,
SDCBP2,43.699,
TSR3,43.697,
CCDC93,43.695,
TMEM41A,43.695,
BIN3,43.691,
RPRD1A,43.679,
CCDC22,43.668,
SEL1L,43.638,
NFYB,43.634,
SUPT4H1,43.63,
ANK1,43.597,
PANX1,43.588,
NMRAL1,43.561,
L2HGDH,43.543,
DSC2,43.54,
CLIC5,43.532,
MRAP,43.515,
ZCCHC3,43.493,
CRIPT,43.476,
BABAM1,43.4735,8.94560788879101
MC3R,43.471,
CDC73,43.464,
KDELR2,43.463,
CACNA2D1,43.458,
CDKN2C,43.428,
UBE2E1,43.417,
PCTP,43.416,
L3HYPDH,43.404,
GAPVD1,43.403,
ALKBH2,43.403,
FYTTD1,43.389,
VAMP1,43.363,
C2orf49,43.35,
NFRKB,43.344,
SDHD,43.339,21.83478525197809
DYSF,43.326,
RPF1,43.325,
ACAD11,43.248,
ITPK1,43.229,
ATPAF2,43.213,
SGPL1,43.198,
SLC38A9,43.185,
RTN4IP1,43.176,
TGFB1,43.175,
ABCF3,43.164,
SHC1,43.163,
SLC22A18,43.161,
UBA7,43.147,
ITGB4,43.136,
TCF25,43.111,
RASA1,43.108,
SLC25A32,43.094,
SLC23A1,43.09,
ACAD8,43.077,
WIPI2,43.076,
GGA2,43.071,
OGFOD3,43.069,
PDK1,43.056,
RNF7,43.009,
MRC2,43.0,
UGT2B10,42.996,
GTPBP10,42.987,
LCMT1,42.987,
LRRC40,42.98,
RBM10,42.942,
OXSM,42.934,
ANAPC10,42.929,
MTF2,42.928,
HIF1AN,42.927,
C8orf88,42.92,
TEX30,42.9,
HMHB1,42.9,
AAK1,42.8885,0.10111626970967678
MRPL21,42.877,
ANP32D,42.861,
BAK1,42.858,
MNAT1,42.845,
SMPDL3B,42.829,
MAX,42.826,
NEMP1,42.814,
ALKBH1,42.81,
ZNF579,42.807,
KYAT1,42.806,
RBM28,42.805,
DPP9,42.793,
GOLGA2,42.792,
ARL6IP4,42.788,
DHRS9,42.781,
VAMP7,42.779,
SPAG7,42.775,
TMEM179B,42.737,
MUC13,42.736,
EPS15,42.727,
THNSL1,42.724,
MLC1,42.712,
IGF2R,42.696,
SLC39A11,42.686,
RICTOR,42.678,
KLK5,42.671,
TMEM200B,42.664,
OR2AK2,42.649,
ELP2,42.637,
MED4,42.596,
GPX2,42.595,
FRA10AC1,42.581,
DEGS1,42.572,
ZADH2,42.538,
FARP1,42.538,
NUDT19,42.52,
CD48,42.514,
SYNGR3,42.505,
RALYL,42.504,
FAR1,42.491,
PIP4P1,42.489,
LARP7,42.479,
STRBP,42.475,
ARC,42.473,
DDX52,42.471,
HACD2,42.47,
EIF2B4,42.47,
NUDCD3,42.456,
SERPINE2,42.456,
SREK1,42.439,
WRAP53,42.419,
CEBPZ,42.411,
MRPS12,42.387,
RNASEH2B,42.385,
SUPT5H,42.376,
NUP85,42.372,
MED28,42.359,
TINAG,42.358,
BLOC1S2,42.352,
ERAP2,42.351,
CWC27,42.338,
KLRF2,42.333,
SERP2,42.319,
POU2F1,42.309,
CAMK1,42.304,
RAB25,42.294,
FBXL12,42.291,
SDAD1,42.261,
SLC5A2,42.26,
GOLGA7,42.259,
TRIM47,42.255,
PNMT,42.238,
CUTC,42.232,
OR6Q1,42.225,
PTRH1,42.219,
TRIP12,42.213,
UBQLN4,42.202,
AMT,42.202,
TSPAN14,42.192,
PRPF38B,42.183,
NOP53,42.18,
HMG20A,42.161,
SLC35F2,42.155,
IL34,42.149,
TRMT1L,42.11,
C9orf78,42.099,
KRT32,42.098,
HPS6,42.075,
RAB3GAP2,42.071,
STX5,42.061,
RPP40,42.05,
GSDME,42.03,
ACKR1,42.027,
EPPK1,42.02,
RNF151,42.009,
CYB561A3,42.004,
NDOR1,42.003,
NACC1,42.002,
PLA2G2F,41.984,
SEPTIN1,41.981,
NELFB,41.979,
WDR41,41.974,
PARD6B,41.964,
NUP133,41.946,
DPF2,41.941,
CEP55,41.934,
TOP2B,41.914,
SGCA,41.897,
VSIR,41.886,
COMMD7,41.868,
MATN2,41.865,
SAT2,41.864,
ZCCHC17,41.864,
GEMIN8,41.858,
PPP6R3,41.858,
MBD1,41.85,
ACSL5,41.848,
MRPL42,41.835,
POGLUT3,41.824,
MIEN1,41.807,
ZFP36L2,41.798,
THOC6,41.787,
UTP3,41.787,
GNG4,41.784,
IL25,41.776,
DNAJC2,41.761,
NRF1,41.755,
GPLD1,41.753,
YARS2,41.738,
FAM107B,41.735,
GTF2A2,41.728,
COPG2,41.71,
NRDC,41.694,
EXOC7,41.683,
KRI1,41.642,
ATL2,41.634,
NECTIN2,41.589,
TSPAN13,41.584,
POLR1G,41.568,
OR2AG1,41.565,
BAP1,41.561,
ANXA8L1,41.561,
IRAG2,41.56,
DHX38,41.559,
SLC6A9,41.548,
RAB24,41.543,
ARIH1,41.528,
GSTA4,41.509,
RRP1B,41.506,
WDHD1,41.494,
DCP2,41.482,
RNF149,41.479,
RNASE4,41.477,
CDK10,41.471,
FOLR2,41.471,
BABAM2,41.45,
ELAC2,41.446,
AHCYL2,41.441,
NOM1,41.439,
GALNS,41.427,
TMEM106B,41.42,
BCKDK,41.416,
CCNK,41.406,
CD40,41.402,
CD8A,41.4,
LTBP2,41.366,
EPHA2,41.359,
TBRG4,41.351,
GBA,41.347,
PPP2R5E,41.338,
RBM12B,41.335,
DDX55,41.32,
CDC20,41.314,
DMAP1,41.313,
RANBP2,41.273,
HS1BP3,41.245,
GDPD3,41.226,
RNMT,41.202,
TM2D2,41.174,
ISCA2,41.173,
PSMG4,41.148,
ARHGEF2,41.138,
GNAZ,41.132,
RHOF,41.132,
LRRC25,41.126,
PCBD2,41.094,
FBLIM1,41.087,
MLX,41.085,
BRAP,41.083,
C1orf50,41.079,
B3GLCT,41.056,
MRPL28,41.05,
SELP,41.034,
UNG,41.02,
KTI12,41.002,
SPRR4,40.989,
TMEM159,40.988,
COMMD5,40.985,
TMEM161A,40.985,
DUSP12,40.961,
SRR,40.952,
YPEL5,40.951,
MIPEP,40.947,
CLC,40.946,
CHCHD1,40.945,
NCK2,40.938,
KCMF1,40.928,
SLC14A1,40.923,
TOR1B,40.918,
NUDT16,40.886,
SPRR2G,40.886,
ATP6AP2,40.886,
ZNF346,40.885,
HLA-DPB1,40.87,
TNNC2,40.847,
GP2,40.846,
L1CAM,40.846,
EIF2B5,40.844,
SNX27,40.843,
DTNA,40.836,
ERI3,40.833,
CIB1,40.797,
CD58,40.795,
FAIM,40.792,
BAIAP2,40.79,
TBCD,40.78,
CPSF4,40.779,
TRAPPC12,40.762,
F11,40.754,
SERPINB8,40.735,
IDNK,40.727,
ATP1B2,40.723,
PDCD2,40.723,
RAB3GAP1,40.718,
TESC,40.718,
MPLKIP,40.714,
VPS13C,40.699,
LYZL6,40.697,
MICAL1,40.694,
NDUFB2,40.676,
CLDN3,40.659,
RFPL1,40.659,
PLCG1,40.579,
TSR2,40.578,
MAP3K7,40.573,
SUGP2,40.557,
